Nabarangpur,Anchalguma1,7.96,1040.0,501,347,306,71,41,38,41.8,373,121,5,0.34,0,61.24577636650338,2
Ganjam,Kendupadar,7.7,1700.0,853,736,243,122,105,61,2.5,296,347,71,0.17,0,28.66200704108745,1
Cuttack,Jagatpur 3,7.21,530.0,256,199,211,40,24,24,1.5,258,32,8,0.31,0,21.244932064375178,0
Sambalpur,Hathibari,8.16,620.0,302,167,204,37,18,56,2.6,249,38,28,0.83,0,54.11401053559081,2
Boudh,Landibandh,8.02,1160.0,573,540,282,48,102,16,1.3,344,173,64,0.14,0,26.722586079671615,1
Nabarangpur,Umarkote,7.76,880.0,429,252,234,71,18,69,4.2,285,112,15,0.64,0,44.0640695651288,1
Sundargarh,Panderpali,7.96,170.0,88,53,40,15,3,13,2.3,49,26,3,0.14,1,17.133304802154107,0
Ganjam,Tilisingi,8.25,900.0,501,360,229,37,65,47,24.0,279,160,31,0.39,0,53.831789493676304,2
Bargarh,Kharmanda,7.53,1740.0,967,319,248,56,44,81,256.0,302,290,92,0.32,0,215.1332867578815,3
Dhenkanal,Dhenkanal,8.0,930.0,466,295,200,42,46,62,25.8,244,146,24,1.26,0,92.6553945864918,3
Balangir,Fatamunda,8.43,670.0,325,254,161,38,39,35,0.9,172,86,30,0.66,1,48.564033419974145,1
Mayurbhanj,Bisoi,7.98,360.0,163,176,153,33,23,1,1.0,187,14,0,0.11,1,17.23750030073788,0
Deogarh,Rengalbeda,8.36,830.0,442,109,219,20,15,132,1.9,250,93,48,2.11,0,115.49098348220211,3
Balangir,Bijakhaman,8.02,980.0,468,423,146,64,64,21,5.8,178,156,70,0.62,0,49.58108814464402,1
Khordha,B-44 Baramunda,7.21,420.0,227,114,116,22,14,30,21.1,142,53,17,0.16,0,27.16494753574677,1
Khordha,B-35 Unit-6,7.42,460.0,241,149,146,36,14,32,8.3,178,45,18,0.12,1,18.015765712598757,0
Khordha,Nirakarpur,7.68,220.0,116,80,77,30,1,13,1.0,94,23,2,0.06,1,10.392810991976454,0
Sundargarh,R-20 Jhirpani,7.18,680.0,349,172,197,22,28,71,10.5,240,94,5,0.16,1,20.689403511542817,0
Nayagarh,Purusottampur,7.92,1190.0,590,310,337,43,50,104,22.7,411,102,67,0.31,0,45.966145604684094,1
